日期时间,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4月8日 (二),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,3,11,7,10,15,12,9,6,8,7,7,6
4月9日 (三),6,5,4,2,1,1,0,0,1,2,4,6,8,9,9,9,9,9,8,6,5,4,4,2
4月10日 (四),2,2,1,1,1,1,0,0,2,3,5,7,8,9,9,9,9,8,7,5,5,3,3,2
4月11日 (五),2,2,2,1,0,0,1,1,3,4,6,7,9,10,10,10,10,9,9,7,7,6,6,5
4月12日 (六),5,5,5,5,4,5,4,5,6,6,7,9,8,9,12,12,12,11,11,9,9,7,7,6
4月13日 (日),6,6,5,5,5,5,5,5,6,6,6,7,7,8,8,8,8,7,7,5,5,3,4,3
4月14日 (一),3,3,3,2,1,1,1,1,2,3,4,5,7,8,9,9,9,8,7,5,5,4,4,2
4月15日 (二),3,3,3,3,2,2,2,2,2,3,3,5,7,9,9,9,9,8,8,6,6,4,5,4
4月16日 (三),4,4,4,3,3,3,2,3,4,5,6,7,8,10,10,10,10,9,8,6,6,5,5,4
4月17日 (四),4,4,4,3,3,3,2,3,3,4,5,7,8,10,10,10,10,9,8,6,6,5,6,4
